TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,LocationCoords,Month,TransactionType,Channel,CustomerOccupation,AgeGroup,AmountGroup,Target
14.089999999999975,70.0,81.0,1.0,5112.21,3915.3405767631098,4,0,0,0,2,1,0
376.24,68.0,141.0,1.0,13758.91,2283.538694936679,6,0,0,0,2,1,1
126.29000000000002,19.0,56.0,1.0,1122.35,3431.992748118375,7,0,1,2,0,1,0
184.5,26.0,25.0,1.0,8569.06,681.143084500704,5,0,1,2,0,1,2
92.15,18.0,172.0,1.0,781.6800000000003,2135.713473990667,4,0,0,2,0,1,1
7.079999999999984,37.0,139.0,1.0,13316.71,3875.612974892549,2,0,0,0,0,1,0
171.42,67.0,291.0,1.0,2796.24,1038.5237004133305,5,0,0,1,2,1,2
106.23000000000002,51.0,86.0,1.0,9095.14,775.234503741158,3,0,0,0,1,1,2
815.96,55.0,120.0,1.0,1021.8800000000006,1222.8481398850859,3,0,0,0,1,0,2
17.779999999999973,52.0,59.0,1.0,7599.52,2920.5641358860153,3,0,1,0,1,1,1
190.02,21.0,173.0,1.0,1528.81,1536.6261138623188,2,0,1,2,0,1,1
494.52,24.0,111.0,1.0,1620.02,3431.992748118375,6,0,0,2,0,1,0
781.76,26.0,123.0,1.0,189.6899999999996,1536.6261138623188,11,0,0,2,0,0,1
166.99,18.0,134.0,1.0,299.9300000000003,1046.4416636807618,2,0,1,2,0,1,2
465.45,36.0,129.0,1.0,3465.54,2625.6387558420174,12,0,0,0,0,1,1
555.8,19.0,158.0,1.0,1131.2600000000002,2434.615458568335,10,0,0,2,0,0,1
492.93,39.0,234.0,1.0,5109.97,768.3411955450501,12,0,1,0,0,1,2
18.680000000000007,59.0,106.0,1.0,7948.37,2920.5641358860153,2,0,0,1,1,1,1
71.48000000000005,18.0,169.0,1.0,6568.59,768.3411955450501,6,0,1,2,0,1,2
59.31999999999999,71.0,38.0,1.0,5750.89,3944.422231489921,2,0,0,1,2,1,0
85.76999999999995,38.0,93.0,1.0,9146.19,3593.232545254742,8,0,0,0,0,1,0
52.19999999999999,39.0,120.0,1.0,8974.93,1201.0093681251697,6,0,1,0,0,1,2
145.54,21.0,96.0,1.0,1930.96,681.143084500704,3,0,1,2,0,1,2
7.490000000000009,65.0,276.0,1.0,3634.67,2283.538694936679,10,0,1,1,2,1,1
40.31999999999999,37.0,95.0,1.0,2686.52,1180.9745902362406,3,0,0,0,0,1,2
127.44999999999999,44.0,197.0,1.0,1772.06,3593.232545254742,1,0,1,0,1,1,0
56.170000000000016,27.0,283.0,1.0,1351.69,775.234503741158,9,0,0,2,0,1,2
28.310000000000002,59.0,20.0,1.0,8334.47,1754.3467829959206,7,0,1,0,1,1,1
59.12000000000003,29.0,257.0,1.0,9823.64,272.87354047892876,2,0,0,0,0,1,2
255.26,45.0,50.0,1.0,14815.87,4139.145472017721,10,0,0,0,1,1,0
124.75999999999999,49.0,45.0,1.0,5764.72,3875.612974892549,10,0,0,0,1,1,0
78.13,26.0,145.0,1.0,900.6099999999997,1180.9745902362406,11,0,0,2,0,1,2
335.63,55.0,216.0,1.0,1019.3899999999999,2135.713473990667,1,0,1,1,1,1,1
328.47,63.0,119.0,1.0,4323.66,2547.902400533006,7,0,0,1,2,1,1
34.01999999999998,38.0,19.0,1.0,14214.48,129.724928189055,1,0,1,0,0,1,2
241.42,57.0,116.0,1.0,13357.02,854.8235744296312,4,0,1,0,1,1,2
55.31999999999999,19.0,117.0,1.0,241.78999999999996,3416.964917120046,4,0,0,2,0,1,0
304.31,27.0,33.0,1.0,868.6099999999997,1046.4416636807618,7,0,0,2,0,1,2
435.27,74.0,90.0,1.0,4673.28,1147.191043173558,10,0,0,1,2,1,2
164.49,26.0,75.0,1.0,1509.27,272.87354047892876,12,0,0,2,0,1,2
510.24,19.0,105.0,1.0,781.6999999999998,2135.713473990667,10,0,1,2,0,0,1
626.9,26.0,138.0,1.0,265.5100000000002,2625.6387558420174,11,0,1,2,0,0,1
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,4032.909379952436,3,0,1,0,1,1,0
425.34,69.0,121.0,1.0,3907.54,1764.1919772736521,2,0,1,1,2,1,1
85.43,67.0,145.0,1.0,14904.9,461.4462987711208,6,0,0,0,2,1,2
169.5,28.0,142.0,1.0,918.8800000000001,3915.3405767631098,9,0,0,2,0,1,0
104.63,62.0,90.0,1.0,4477.78,1841.472178998541,3,0,0,1,2,1,1
316.95,25.0,83.0,1.0,1324.0299999999997,3431.992748118375,8,0,0,2,0,1,0
60.539999999999964,57.0,52.0,1.0,3534.93,768.3411955450501,12,0,0,1,1,1,2
292.56,68.0,61.00000000000001,1.0,4638.37,2209.3234283215647,3,0,0,1,2,1,1
386.52,48.0,27.999999999999986,1.0,5630.61,1038.5237004133305,6,0,0,0,1,1,2
112.07,23.0,51.0,1.0,930.3000000000002,1764.1919772736521,10,0,0,2,0,1,1
349.64,48.0,226.0,1.0,6651.62,3593.232545254742,11,0,1,0,1,1,0
601.4,56.0,104.0,1.0,8458.29,129.724928189055,5,0,0,0,1,0,2
5.769999999999982,50.0,124.0,1.0,13988.12,854.8235744296312,11,0,1,0,1,1,2
201.33,42.0,186.0,1.0,2585.07,1222.8481398850859,3,0,0,0,1,1,2
298.42,56.0,225.0,1.0,3014.75,1038.5237004133305,4,0,0,1,1,1,2
521.06,25.0,128.0,1.0,1951.42,2920.5641358860153,4,0,0,2,0,0,1
117.28,60.0,16.0,1.0,3665.77,2434.615458568335,2,0,1,0,1,1,1
189.12,32.0,103.0,1.0,977.0100000000002,1038.5237004133305,11,0,0,0,0,1,2
133.55000000000004,44.0,220.0,1.0,3846.28,1201.0093681251697,7,0,0,0,1,1,2
143.21,35.0,135.0,1.0,6374.82,2209.3234283215647,1,0,1,0,0,1,1
24.769999999999982,62.0,55.0,1.0,5866.01,306.49049080317803,7,0,0,1,2,1,2
233.92,26.0,280.0,1.0,6537.62,1343.2658942988746,10,0,1,2,0,1,2
91.53,44.0,69.0,1.0,14676.05,1180.9745902362406,3,0,0,0,1,1,2
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,1754.3467829959206,12,0,0,2,0,1,1
174.25,50.0,67.0,1.0,10528.34,3875.612974892549,7,0,1,0,1,1,0
183.71,38.0,102.0,1.0,552.5200000000004,2625.6387558420174,6,0,0,0,0,1,1
259.91,49.0,170.0,1.0,7176.86,2625.6387558420174,11,0,1,0,1,1,1
154.71,34.0,157.0,1.0,1523.7200000000003,3915.3405767631098,7,0,1,0,0,1,0
24.560000000000002,64.0,69.0,1.0,9869.93,3431.992748118375,10,0,0,0,2,1,0
568.07,48.0,115.0,1.0,10556.81,327.91251631202124,8,0,0,0,1,0,2
9.610000000000014,58.0,179.0,1.0,12883.91,3915.3405767631098,6,0,1,0,1,1,0
392.96,24.0,100.0,1.0,791.6499999999996,1764.1919772736521,11,0,1,2,0,1,1
716.93,60.0,34.0,1.0,4064.02,1180.9745902362406,9,0,1,1,1,0,2
230.66,21.0,135.0,1.0,618.0500000000002,2283.538694936679,3,0,0,2,0,1,1
644.17,29.0,72.0,1.0,1143.5199999999995,2547.902400533006,3,0,0,0,0,0,1
508.68,51.0,127.0,1.0,7708.41,3431.992748118375,6,0,0,0,1,0,0
25.360000000000014,57.0,78.0,1.0,201.03999999999996,1046.4416636807618,7,0,0,0,1,1,2
147.62,71.0,133.0,1.0,2115.8,854.8235744296312,9,0,0,1,2,1,2
115.01999999999998,37.0,175.0,1.0,7643.66,2547.902400533006,9,0,0,0,0,1,1
383.37,30.0,24.0,1.0,8901.93,2253.8714609191984,1,0,0,0,0,1,1
98.54000000000002,20.0,167.0,1.0,9383.43,3063.3424756330105,8,0,1,2,0,1,0
83.23999999999998,55.0,164.0,1.0,1181.3100000000004,2253.8714609191984,10,0,0,0,1,1,1
196.16,27.0,146.0,1.0,9418.86,461.4462987711208,2,0,0,0,0,1,2
129.94,32.0,235.0,1.0,7954.92,3593.232545254742,1,0,0,0,0,1,0
306.9,46.0,51.0,1.0,9418.08,2634.80046780374,11,0,1,0,1,1,1
114.98000000000002,59.0,80.0,1.0,6144.68,3875.612974892549,11,0,1,1,1,1,0
756.59,27.0,17.0,1.0,420.64999999999964,4032.909379952436,3,0,0,2,0,0,0
503.76,22.0,35.0,1.0,447.8199999999997,3944.422231489921,11,0,1,2,0,0,0
143.03,63.0,147.0,1.0,7981.45,2547.902400533006,7,0,0,1,2,1,1
245.54,25.0,180.0,1.0,985.0599999999995,0.0,3,0,0,2,0,1,2
254.37,51.0,174.0,1.0,8849.26,2209.3234283215647,4,0,1,0,1,1,1
213.76,78.0,282.0,1.0,3528.72,2209.3234283215647,3,0,0,1,2,1,1
327.86,40.0,104.0,1.0,480.15999999999985,3960.4544021953357,2,0,1,0,0,1,0
2.5,47.0,107.0,1.0,12145.27,3915.3405767631098,7,0,1,0,1,1,0
